snippet_text,source,date,crash_event,media_tone,mentions_recovery,mentions_numeric,mentions_cause
the stock market crash was the direct result of predatory practices by financial interests mad with a desire to accumulate wealth through gambling with money of others,Carolina Watchman (Salisbury N.C.),1932-05-13,1929,Negative,No,No,Yes
In the wake of the stock market crash of 1929 came a long series of great financial losses to groups and individuals that eventually led President Roosevelt to assert the need for reform in the conduct of the financial markets of the nation,The Washington Daily News,1938-04-15,1929,Negative,No,No,No
Poison After Heavy Losses in Stock Market Crash Says Relative. The body of Wilfred H Gerry wealthy pencil manufacturer was found in a room in the Embassy Hotel,The Washington Daily News,1929-12-30,1929,Negative,No,No,No
THE STOCK MARKET CRASH The stock market crash in which 60 billion dollars of paper values was estimated as wiped out at the market's lowest ebb is the biggest labor news of the week in the east,The Producers News (Plentywood Mont.),1929-11-22,1929,Negative,No,Yes,No
The stock market crash had nothing on the thermometer yesterday and last night. From a high point of 68 at 2 p.m. yesterday afternoon the mercury took a nose dive down to 24 at 7:30 this morning,The Washington Times,1929-12-20,1929,Neutral,No,No,No
because of losses in the stock market crash John Desmond 50 was dead here today a suicide. His body lay in a rooming house for two weeks before it was discovered,The Washington Times,1929-11-29,1929,Negative,No,No,No
Louisville first casualty of the Stock Market crash came yesterday when Ralph E. Coztne 52 prominent local business official ended his life by drowning in a canal. Heavy market losses led to the suicide,The Washington Daily News,1929-11-13,1929,Negative,No,No,No
The greatest stock market crash in history became even more serious yesterday than on either Thursday or Monday in spite of the frantic efforts of J. P. Morgan and the largest banks to halt,The Daily Worker (Chicago),1929-10-30,1929,Negative,No,No,Yes
Last week's stock market crash upon analysis reveals that different industrial groups behaved in vastly different manner. Some lost nearly three-fifths of their peak levels while some lost only about one-fifth,Evening Star (Washington D.C.),1929-11-04,1929,Neutral,No,No,No
confidence recently shaken by the stock market crash. Movement Uncertain Just what the group will do in the way of definite steps suggested in Hoover's call is a matter of conjecture here,The Washington Daily News,1929-11-16,1929,Negative,Yes,No,No
been held responsible for the stock market crash. Some have mentioned Jesse Livermore and a few have spoken with bitterness of President Hoover's fairly recent market letter,The Washington Daily News,1929-11-14,1929,Negative,No,No,Yes
the resulting agony. The stock market crash is not fundamentally funny. I venture to say that no natural catastrophe such as fire flood or cyclone has actually hurt so many innocent people,The Washington Daily News,1929-12-02,1929,Negative,No,No,No
Before Stock Market Crashed. Thus before the stock market debacle the prosperity adjustment was becoming very delicate. A recession was beginning in steel and the construction industry had been down for many months,The Washington Daily News,1929-11-29,1929,Negative,No,No,Yes
situation in connection with the stock market crash. Secretary of Commerce Lamont said today that the country has nothing to worry about,The Washington Times,1929-11-04,1929,Positive,Yes,No,No
fears engendered by the recent stock market crash and had demonstrated that lower security quotations were exercising no important effect upon business in general,The Washington Daily News,1929-12-06,1929,Positive,No,No,No
with chief responsibility for the stock market crash and the subsequent depression. After referring to the rapid increase in speculation which preceded the crash Senator Robinson declared,The Washington Times,1930-09-11,1929,Negative,No,No,Yes
into conferences here after the stock market crash in 1929. It was reported then that Mr. Hoover had been promised there would be no wage reductions,The Washington Times,1931-09-24,1929,Neutral,Yes,No,No
serious effects of last Fall's stock market crash will be passed with unemployment conditions definitely on the mend,Evening Star (Washington D.C.),1930-03-08,1929,Positive,Yes,No,No
indirectly responsible for the recent stock market crash John G. Thompson of the Simonds Saw Steel Co told the economic group. If the public had understood the significance of these long continued rates he said the crash would not have occurred,The Washington Daily News,1929-12-28,1929,Negative,No,No,Yes
the stock market crash was the direct result of predatory practices by financial interests mad with desire to accumulate wealth through gambling with the money of others,Evening Star (Washington D.C.),1932-04-29,1929,Negative,No,No,Yes
"Effects of last October's stock market crash were reflected today in the latest Treasury tax collection statement which showed revenues running $10,000,000 behind",The Washington Daily News,1930-03-19,1929,Negative,No,Yes,No
the major factor in the stock market crash. While the stock market is by no means a complete gauge of the conditions of production still it is ridiculous to argue that the most tremendous drop in the past 50 years in values of capitalist securities does not reflect a severe rupture,The Daily Worker (Chicago),1929-11-21,1929,Negative,No,No,Yes
NEW YORK October 26. The stock market crash of last week which sent thousands of stock buyers down to financial defeat was primarily precipitated by foreign liquidation of American securities,Evening Star (Washington D.C.),1929-10-27,1929,Negative,No,No,Yes
in some quarters that the stock market crash would bring on unemployment. The reports are based on returns from about thirty-five thousand establishments which had in November more than five million employes,Evening Star (Washington D.C.),1929-12-18,1929,Neutral,No,Yes,No
a fortune in the recent stock market crash was found dead yesterday with a bullet through head. Police believe he committed suicide,Evening Star (Washington D.C.),1929-11-01,1929,Negative,No,No,No
inquiry into cause of stock market crash within the next 10 days. As a member of the subcommittee I suggest this inquiry should be started without delay,The Washington Times,1933-07-25,1929,Negative,No,No,Yes
STOCK MARKET CRASH! Read Our Full Page Advertisement On Opposite Page For Information Phone or See Local Representative Herbert O. McLean General Agent Provident Mutual Life Insurance Co,Evening Star (Washington D.C.),1929-11-26,1929,Neutral,No,No,No
Today we see every sign of deepening crisis of greater instability of the capitalist system. At that time the stock market crash which brought consternation to the capitalists and mass unemployment and starvation to the workers was a symptom of overproduction,The Daily Worker (Chicago),1933-07-24,1929,Negative,No,No,Yes
hear his views on the stock market crash. The hotel room was packed with standing room at a premium,Evening Star (Washington D.C.),1929-12-29,1929,Neutral,No,No,No
ready set in before the stock market crash. Of course the tumble in stocks greatly intensified,The Milwaukee Leader,1930-05-17,1929,Negative,No,No,Yes
The Meaning of the Stock Market Crash By LEON PLATT. Within the last two weeks there took place the most serious and one of the greatest stock breaks that ever occurred in the financial history of the United States,The Daily Worker (Chicago),1929-11-08,1929,Negative,No,No,Yes
Mussolini Charges Economic Ills To Stock Market Crash in America. The American stock market crash and money crisis of the fall of 1929 are principally to blame for Italy's present financial ills Premier Mussolini told the senate today,Douglas Daily Dispatch (Arizona),1930-12-19,1929,Negative,No,No,Yes
"end of 1929 when the stock market crash precipitated the present depression. The gross income of corporations reporting to the Federal Government had made a steady gain from about $242,000,000 in 1916 up to $567,464,681 in 1929",Evening Star (Washington D.C.),1931-12-03,1929,Negative,No,Yes,No
BUSINESS MAN AHEAD OF 1929 Stock Market Crash and Bank Failure Permit New Yorker to Accumulate Investments and Surplus,Evening Star (Washington D.C.),1932-08-19,1929,Positive,Yes,No,No
The October stock market crash and general business recession were responsible for predictions of less spending in the East,The Washington Daily News,1937-11-26,1937,Negative,No,No,Yes
have privately charged that the stock market crash was engineered in a drive for repeal of corporation surplus and capital gains taxes,The Washington Times,1937-11-01,1937,Negative,No,No,Yes
for the first time in my experience a stock market crash brought on a business decline rather than a business decline bringing on a stock market crash,Henderson Daily Dispatch (N.C.),1938-05-13,1937,Negative,No,No,Yes
evidence that short selling was largely responsible for the stock market crash of last fall has been gathered by SEC investigators,The Washington Times,1938-02-25,1937,Negative,No,No,Yes
Simpson also attacked the statement of Douglas which asserted the SEC could not save a fool from his folly in the stock market crash,The Washington Times,1937-10-05,1937,Negative,No,No,Yes
2. Lasting Effects of the Stock Market Crash recognize that the facts we hear first many times are only echoes of deep and vital changes,Evening Star (Washington D.C.),1962-08-12,1962,Negative,Yes,No,No
attack. Warning in Crash. The stock market crash was a shock an unmistakable,Evening Star (Washington D.C.),1962-06-13,1962,Negative,No,No,No
from a slump since the stock market crash last May. The recession is hitting almost all the financial houses,Evening Star (Washington D.C.),1962-10-14,1962,Negative,No,No,No
affected directly by the recent stock market crash. This figures out at one in every six adults in the country. At least 4.5 million of this total now have paper losses in their stock portfolios,Evening Star (Washington D.C.),1962-06-26,1962,Negative,No,Yes,No
"to Brazil after the recent stock market crash was indicted yesterday on a charge of stealing $1,953,000 of his company's funds",The Nome Nugget (Alaska),1962-06-29,1962,Negative,No,Yes,No
and contributed to the stock market crash in 1929. It makes it unlawful for investment counsellors to engage in any transaction practice or course of business which operates as a fraud or deceit upon any client,Evening Star (Washington D.C.),1963-12-09,1962,Negative,No,No,Yes
So you can imagine how unhappy were the Commies when the stock market rallied immediately after the crash,Evening Star (Washington D.C.),1955-10-03,1962,Neutral,Yes,No,No
possible downturn after the stock market crash of May 1962 are being dubbed the misleading indicators by other skeptics,Evening Star (Washington D.C.),1963-07-15,1962,Negative,Yes,No,No
few days after the recent stock market crash when everybody was supposed to be broke. Ralph can't figure it out except that everybody seems to want horses,Evening Star (Washington D.C.),1962-06-19,1962,Neutral,Yes,No,No
and contributed to the stock market crash in 1929. It makes it unlawful for investment counsellors to engage in any transaction practice or course of business which operates as a fraud,Evening Star (Washington D.C.),1963-12-09,1962,Negative,No,No,Yes
