,﻿Layer,Name,GEOID,INC_2020-2024,INC_2020-2024_moe,properties.area_id,properties.city,properties.state,properties.city_survey,properties.cat,properties.grade,properties.label,properties.res,properties.com,properties.ind,properties.fill,properties.GISJOIN,properties.calc_area,properties.pct_tract
33,Census tract,Tract 107.02,17031010702,"$61,724","$7,345",1167,Chicago,IL,True,Definitely Declining,C,C66,True,False,False,#ffff00,G1700310010702,33690.92975,0.09423
34,Census tract,Tract 107.02,17031010702,"$61,724","$7,345",1152,Chicago,IL,True,Definitely Declining,C,C67,True,False,False,#ffff00,G1700310010702,114061.62291,0.31901
35,Census tract,Tract 107.02,17031010702,"$61,724","$7,345",1168,Chicago,IL,True,Definitely Declining,C,C68,True,False,False,#ffff00,G1700310010702,209795.79628,0.58676
36,Census tract,Tract 201,17031020100,"$64,904","$20,863",1148,Chicago,IL,True,Still Desirable,B,B44,True,False,False,#7cb5bd,G1700310020100,11839.45765,0.0288
37,Census tract,Tract 201,17031020100,"$64,904","$20,863",1150,Chicago,IL,True,Still Desirable,B,B69,True,False,False,#7cb5bd,G1700310020100,1184.04429,0.00288
38,Census tract,Tract 201,17031020100,"$64,904","$20,863",1149,Chicago,IL,True,Still Desirable,B,B70,True,False,False,#7cb5bd,G1700310020100,296341.48961,0.72076
39,Census tract,Tract 201,17031020100,"$64,904","$20,863",1145,Chicago,IL,True,Definitely Declining,C,C24,True,False,False,#ffff00,G1700310020100,2426.09534,0.0059
40,Census tract,Tract 202,17031020200,"$120,625","$14,804",1150,Chicago,IL,True,Still Desirable,B,B69,True,False,False,#7cb5bd,G1700310020200,942605.50906,0.75896
41,Census tract,Tract 202,17031020200,"$120,625","$14,804",1149,Chicago,IL,True,Still Desirable,B,B70,True,False,False,#7cb5bd,G1700310020200,146397.73405,0.11788
42,Census tract,Tract 202,17031020200,"$120,625","$14,804",1145,Chicago,IL,True,Definitely Declining,C,C24,True,False,False,#ffff00,G1700310020200,1996.31589,0.00161
43,Census tract,Tract 203.01,17031020301,"$78,385","$20,539",1150,Chicago,IL,True,Still Desirable,B,B69,True,False,False,#7cb5bd,G1700310020301,6059.87079,0.00734
44,Census tract,Tract 203.01,17031020301,"$78,385","$20,539",1151,Chicago,IL,True,Still Desirable,B,B72,True,False,False,#7cb5bd,G1700310020301,206663.3179,0.25034
45,Census tract,Tract 203.01,17031020301,"$78,385","$20,539",1175,Chicago,IL,True,Still Desirable,B,B73,True,False,False,#7cb5bd,G1700310020301,67411.42501,0.08166
46,Census tract,Tract 203.02,17031020302,"$71,250","$12,211",1150,Chicago,IL,True,Still Desirable,B,B69,True,False,False,#7cb5bd,G1700310020302,16012.53488,0.02502
47,Census tract,Tract 203.02,17031020302,"$71,250","$12,211",1149,Chicago,IL,True,Still Desirable,B,B70,True,False,False,#7cb5bd,G1700310020302,2157.07347,0.00337
48,Census tract,Tract 203.02,17031020302,"$71,250","$12,211",1151,Chicago,IL,True,Still Desirable,B,B72,True,False,False,#7cb5bd,G1700310020302,611761.21666,0.956
49,Census tract,Tract 203.02,17031020302,"$71,250","$12,211",1175,Chicago,IL,True,Still Desirable,B,B73,True,False,False,#7cb5bd,G1700310020302,7096.51647,0.01109
50,Census tract,Tract 203.02,17031020302,"$71,250","$12,211",1174,Chicago,IL,True,Still Desirable,B,B74,True,False,False,#7cb5bd,G1700310020302,2891.71241,0.00452
51,Census tract,Tract 204,17031020400,"$73,790","$26,057",1150,Chicago,IL,True,Still Desirable,B,B69,True,False,False,#7cb5bd,G1700310020400,75.14073,0.00014
52,Census tract,Tract 204,17031020400,"$73,790","$26,057",1149,Chicago,IL,True,Still Desirable,B,B70,True,False,False,#7cb5bd,G1700310020400,231378.93701,0.41647
53,Census tract,Tract 204,17031020400,"$73,790","$26,057",1151,Chicago,IL,True,Still Desirable,B,B72,True,False,False,#7cb5bd,G1700310020400,165.77659,0.0003
54,Census tract,Tract 204,17031020400,"$73,790","$26,057",1174,Chicago,IL,True,Still Desirable,B,B74,True,False,False,#7cb5bd,G1700310020400,177220.97817,0.31899
55,Census tract,Tract 204,17031020400,"$73,790","$26,057",1152,Chicago,IL,True,Definitely Declining,C,C67,True,False,False,#ffff00,G1700310020400,146732.39255,0.26411
56,Census tract,Tract 205,17031020500,"$37,819","$30,497",1175,Chicago,IL,True,Still Desirable,B,B73,True,False,False,#7cb5bd,G1700310020500,9810.02719,0.01271
57,Census tract,Tract 205,17031020500,"$37,819","$30,497",1174,Chicago,IL,True,Still Desirable,B,B74,True,False,False,#7cb5bd,G1700310020500,351478.57953,0.45548
58,Census tract,Tract 205,17031020500,"$37,819","$30,497",1152,Chicago,IL,True,Definitely Declining,C,C67,True,False,False,#ffff00,G1700310020500,675.55773,0.00088
59,Census tract,Tract 206.01,17031020601,"$64,127","$9,285",1175,Chicago,IL,True,Still Desirable,B,B73,True,False,False,#7cb5bd,G1700310020601,589216.66309,0.99643
60,Census tract,Tract 206.01,17031020601,"$64,127","$9,285",1176,Chicago,IL,True,Still Desirable,B,B77,True,False,False,#7cb5bd,G1700310020601,160.36928,0.00027
61,Census tract,Tract 206.02,17031020602,"$89,663","$37,315",1175,Chicago,IL,True,Still Desirable,B,B73,True,False,False,#7cb5bd,G1700310020602,491924.33805,0.9998
62,Census tract,Tract 206.02,17031020602,"$89,663","$37,315",1174,Chicago,IL,True,Still Desirable,B,B74,True,False,False,#7cb5bd,G1700310020602,100.74798,0.0002
63,Census tract,Tract 207.01,17031020701,"$108,568","$17,248",1178,Chicago,IL,True,Still Desirable,B,B62,True,False,False,#7cb5bd,G1700310020701,333989.3905,0.56475
64,Census tract,Tract 207.01,17031020701,"$108,568","$17,248",1177,Chicago,IL,True,Still Desirable,B,B63,True,False,False,#7cb5bd,G1700310020701,160630.10496,0.27161
65,Census tract,Tract 207.01,17031020701,"$108,568","$17,248",1179,Chicago,IL,True,Still Desirable,B,B65,True,False,False,#7cb5bd,G1700310020701,3879.72153,0.00656
66,Census tract,Tract 207.02,17031020702,"$63,906","$17,677",1178,Chicago,IL,True,Still Desirable,B,B62,True,False,False,#7cb5bd,G1700310020702,19117.21692,0.02714
67,Census tract,Tract 207.02,17031020702,"$63,906","$17,677",1177,Chicago,IL,True,Still Desirable,B,B63,True,False,False,#7cb5bd,G1700310020702,311594.04253,0.4424
68,Census tract,Tract 207.02,17031020702,"$63,906","$17,677",1175,Chicago,IL,True,Still Desirable,B,B73,True,False,False,#7cb5bd,G1700310020702,12344.41435,0.01753
69,Census tract,Tract 207.02,17031020702,"$63,906","$17,677",1176,Chicago,IL,True,Still Desirable,B,B77,True,False,False,#7cb5bd,G1700310020702,329971.31703,0.4685
70,Census tract,Tract 208.01,17031020801,"$74,931","$25,933",1178,Chicago,IL,True,Still Desirable,B,B62,True,False,False,#7cb5bd,G1700310020801,7659.18866,0.01168
71,Census tract,Tract 208.01,17031020801,"$74,931","$25,933",1177,Chicago,IL,True,Still Desirable,B,B63,True,False,False,#7cb5bd,G1700310020801,648291.15505,0.98832
72,Census tract,Tract 208.02,17031020802,"$68,725","$12,683",1177,Chicago,IL,True,Still Desirable,B,B63,True,False,False,#7cb5bd,G1700310020802,313986.24196,0.48754
73,Census tract,Tract 208.02,17031020802,"$68,725","$12,683",1175,Chicago,IL,True,Still Desirable,B,B73,True,False,False,#7cb5bd,G1700310020802,3821.82095,0.00593
74,Census tract,Tract 208.02,17031020802,"$68,725","$12,683",1176,Chicago,IL,True,Still Desirable,B,B77,True,False,False,#7cb5bd,G1700310020802,326206.84481,0.50652
75,Census tract,Tract 209.01,17031020901,"$56,291","$8,621",1177,Chicago,IL,True,Still Desirable,B,B63,True,False,False,#7cb5bd,G1700310020901,2971.67949,0.00609
76,Census tract,Tract 209.01,17031020901,"$56,291","$8,621",1175,Chicago,IL,True,Still Desirable,B,B73,True,False,False,#7cb5bd,G1700310020901,74.54287,0.00015
77,Census tract,Tract 209.01,17031020901,"$56,291","$8,621",1174,Chicago,IL,True,Still Desirable,B,B74,True,False,False,#7cb5bd,G1700310020901,7806.09841,0.01599
78,Census tract,Tract 209.01,17031020901,"$56,291","$8,621",1176,Chicago,IL,True,Still Desirable,B,B77,True,False,False,#7cb5bd,G1700310020901,3425.72995,0.00702
79,Census tract,Tract 209.01,17031020901,"$56,291","$8,621",1387,Chicago,IL,True,Definitely Declining,C,C71,True,False,False,#ffff00,G1700310020901,335398.73534,0.68695
80,Census tract,Tract 209.01,17031020901,"$56,291","$8,621",1384,Chicago,IL,True,Definitely Declining,C,C73,True,False,False,#ffff00,G1700310020901,54367.97289,0.11135
81,Census tract,Tract 209.02,17031020902,"$45,547","$14,825",1174,Chicago,IL,True,Still Desirable,B,B74,True,False,False,#7cb5bd,G1700310020902,4439.47472,0.00885
82,Census tract,Tract 209.02,17031020902,"$45,547","$14,825",1387,Chicago,IL,True,Definitely Declining,C,C71,True,False,False,#ffff00,G1700310020902,5811.82608,0.01158
83,Census tract,Tract 209.02,17031020902,"$45,547","$14,825",1383,Chicago,IL,True,Definitely Declining,C,C72,True,False,False,#ffff00,G1700310020902,47891.20583,0.09542
84,Census tract,Tract 209.02,17031020902,"$45,547","$14,825",1384,Chicago,IL,True,Definitely Declining,C,C73,True,False,False,#ffff00,G1700310020902,197742.34804,0.394
85,Census tract,Tract 209.02,17031020902,"$45,547","$14,825",1386,Chicago,IL,True,Definitely Declining,C,C75,True,False,False,#ffff00,G1700310020902,10114.26787,0.02015
86,Census tract,Tract 209.02,17031020902,"$45,547","$14,825",1154,Chicago,IL,True,Hazardous,D,D4,True,False,False,#d9838d,G1700310020902,1029.35383,0.00205
87,Census tract,Tract 301.01,17031030101,"$48,929","$18,460",1381,Chicago,IL,True,Still Desirable,B,B78,True,False,False,#7cb5bd,G1700310030101,22979.09648,0.18054
88,Census tract,Tract 301.01,17031030101,"$48,929","$18,460",1385,Chicago,IL,True,Definitely Declining,C,C74,True,False,False,#ffff00,G1700310030101,28686.03388,0.22538
89,Census tract,Tract 301.01,17031030101,"$48,929","$18,460",1382,Chicago,IL,True,Definitely Declining,C,C76,True,False,False,#ffff00,G1700310030101,75615.81891,0.59409
90,Census tract,Tract 301.02,17031030102,"$59,826","$7,751",1381,Chicago,IL,True,Still Desirable,B,B78,True,False,False,#7cb5bd,G1700310030102,15389.32414,0.13579
91,Census tract,Tract 301.02,17031030102,"$59,826","$7,751",1383,Chicago,IL,True,Definitely Declining,C,C72,True,False,False,#ffff00,G1700310030102,3131.16941,0.02763
92,Census tract,Tract 301.02,17031030102,"$59,826","$7,751",1385,Chicago,IL,True,Definitely Declining,C,C74,True,False,False,#ffff00,G1700310030102,24805.6836,0.21888
93,Census tract,Tract 301.02,17031030102,"$59,826","$7,751",1382,Chicago,IL,True,Definitely Declining,C,C76,True,False,False,#ffff00,G1700310030102,70005.62157,0.61771
94,Census tract,Tract 301.03,17031030103,"$49,545","$16,861",1381,Chicago,IL,True,Still Desirable,B,B78,True,False,False,#7cb5bd,G1700310030103,18231.49437,0.21045
95,Census tract,Tract 301.03,17031030103,"$49,545","$16,861",1383,Chicago,IL,True,Definitely Declining,C,C72,True,False,False,#ffff00,G1700310030103,21948.4863,0.25336
96,Census tract,Tract 301.03,17031030103,"$49,545","$16,861",1382,Chicago,IL,True,Definitely Declining,C,C76,True,False,False,#ffff00,G1700310030103,46450.15797,0.53619
97,Census tract,Tract 301.04,17031030104,"$41,823","$10,636",1169,Chicago,IL,True,Still Desirable,B,B75,True,False,False,#7cb5bd,G1700310030104,924.3476,0.00836
98,Census tract,Tract 301.04,17031030104,"$41,823","$10,636",1381,Chicago,IL,True,Still Desirable,B,B78,True,False,False,#7cb5bd,G1700310030104,13814.77717,0.12493
99,Census tract,Tract 301.04,17031030104,"$41,823","$10,636",1383,Chicago,IL,True,Definitely Declining,C,C72,True,False,False,#ffff00,G1700310030104,19883.86428,0.17982
100,Census tract,Tract 301.04,17031030104,"$41,823","$10,636",1382,Chicago,IL,True,Definitely Declining,C,C76,True,False,False,#ffff00,G1700310030104,61934.36795,0.5601
101,Census tract,Tract 302,17031030200,"$108,466","$18,807",1169,Chicago,IL,True,Still Desirable,B,B75,True,False,False,#7cb5bd,G1700310030200,8089.68049,0.01214
102,Census tract,Tract 302,17031030200,"$108,466","$18,807",1168,Chicago,IL,True,Definitely Declining,C,C68,True,False,False,#ffff00,G1700310030200,13079.94371,0.01963
103,Census tract,Tract 302,17031030200,"$108,466","$18,807",1383,Chicago,IL,True,Definitely Declining,C,C72,True,False,False,#ffff00,G1700310030200,322006.93029,0.48335
104,Census tract,Tract 302,17031030200,"$108,466","$18,807",1385,Chicago,IL,True,Definitely Declining,C,C74,True,False,False,#ffff00,G1700310030200,322159.6809,0.48358
105,Census tract,Tract 302,17031030200,"$108,466","$18,807",1154,Chicago,IL,True,Hazardous,D,D4,True,False,False,#d9838d,G1700310030200,861.12963,0.00129
106,Census tract,Tract 303,17031030300,"$68,933","$20,922",1383,Chicago,IL,True,Definitely Declining,C,C72,True,False,False,#ffff00,G1700310030300,152306.71055,0.48482
107,Census tract,Tract 303,17031030300,"$68,933","$20,922",1385,Chicago,IL,True,Definitely Declining,C,C74,True,False,False,#ffff00,G1700310030300,3485.18553,0.01109
108,Census tract,Tract 303,17031030300,"$68,933","$20,922",1386,Chicago,IL,True,Definitely Declining,C,C75,True,False,False,#ffff00,G1700310030300,146280.24782,0.46564
109,Census tract,Tract 303,17031030300,"$68,933","$20,922",1154,Chicago,IL,True,Hazardous,D,D4,True,False,False,#d9838d,G1700310030300,12078.97363,0.03845
110,Census tract,Tract 304,17031030400,"$98,909","$16,107",1385,Chicago,IL,True,Definitely Declining,C,C74,True,False,False,#ffff00,G1700310030400,33.63064,0.0001
111,Census tract,Tract 304,17031030400,"$98,909","$16,107",1386,Chicago,IL,True,Definitely Declining,C,C75,True,False,False,#ffff00,G1700310030400,346454.94668,0.9999
112,Census tract,Tract 305,17031030500,"$127,055","$11,147",1385,Chicago,IL,True,Definitely Declining,C,C74,True,False,False,#ffff00,G1700310030500,237530.12403,0.38427
113,Census tract,Tract 305,17031030500,"$127,055","$11,147",1386,Chicago,IL,True,Definitely Declining,C,C75,True,False,False,#ffff00,G1700310030500,380603.0783,0.61573
114,Census tract,Tract 306.01,17031030601,"$52,917","$13,298",1381,Chicago,IL,True,Still Desirable,B,B78,True,False,False,#7cb5bd,G1700310030601,22652.93928,0.15125
115,Census tract,Tract 306.01,17031030601,"$52,917","$13,298",1385,Chicago,IL,True,Definitely Declining,C,C74,True,False,False,#ffff00,G1700310030601,27908.8832,0.18634
116,Census tract,Tract 306.01,17031030601,"$52,917","$13,298",1386,Chicago,IL,True,Definitely Declining,C,C75,True,False,False,#ffff00,G1700310030601,7676.98231,0.05126
117,Census tract,Tract 306.01,17031030601,"$52,917","$13,298",1382,Chicago,IL,True,Definitely Declining,C,C76,True,False,False,#ffff00,G1700310030601,88138.56754,0.58849
118,Census tract,Tract 306.03,17031030603,"$49,674","$14,186",1386,Chicago,IL,True,Definitely Declining,C,C75,True,False,False,#ffff00,G1700310030603,48727.50132,0.42007
119,Census tract,Tract 306.03,17031030603,"$49,674","$14,186",1382,Chicago,IL,True,Definitely Declining,C,C76,True,False,False,#ffff00,G1700310030603,67254.18793,0.57979
120,Census tract,Tract 306.03,17031030603,"$49,674","$14,186",1380,Chicago,IL,True,Definitely Declining,C,C78,True,False,False,#ffff00,G1700310030603,16.7331,0.00014
121,Census tract,Tract 306.04,17031030604,"$51,688","$13,629",1381,Chicago,IL,True,Still Desirable,B,B78,True,False,False,#7cb5bd,G1700310030604,49006.19385,0.24677
122,Census tract,Tract 306.04,17031030604,"$51,688","$13,629",1382,Chicago,IL,True,Definitely Declining,C,C76,True,False,False,#ffff00,G1700310030604,48990.56159,0.24669
123,Census tract,Tract 306.04,17031030604,"$51,688","$13,629",1380,Chicago,IL,True,Definitely Declining,C,C78,True,False,False,#ffff00,G1700310030604,250.9144,0.00126
124,Census tract,Tract 307.01,17031030701,"$44,948","$13,984",1386,Chicago,IL,True,Definitely Declining,C,C75,True,False,False,#ffff00,G1700310030701,10283.887,0.14717
125,Census tract,Tract 307.01,17031030701,"$44,948","$13,984",1382,Chicago,IL,True,Definitely Declining,C,C76,True,False,False,#ffff00,G1700310030701,526.62555,0.00754
126,Census tract,Tract 307.01,17031030701,"$44,948","$13,984",1380,Chicago,IL,True,Definitely Declining,C,C78,True,False,False,#ffff00,G1700310030701,59066.7966,0.84529
127,Census tract,Tract 307.02,17031030702,"$60,603","$14,553",1380,Chicago,IL,True,Definitely Declining,C,C78,True,False,False,#ffff00,G1700310030702,188.83096,0.00852
128,Census tract,Tract 307.03,17031030703,"$74,702","$10,599",1380,Chicago,IL,True,Definitely Declining,C,C78,True,False,False,#ffff00,G1700310030703,190214.91377,0.95928
129,Census tract,Tract 307.03,17031030703,"$74,702","$10,599",1377,Chicago,IL,True,Definitely Declining,C,C81,True,False,False,#ffff00,G1700310030703,2387.201,0.01204
130,Census tract,Tract 307.03,17031030703,"$74,702","$10,599",1373,Chicago,IL,True,Definitely Declining,C,C82,True,False,False,#ffff00,G1700310030703,5191.1933,0.02618
131,Census tract,Tract 307.06,17031030706,"$52,167","$9,687",1381,Chicago,IL,True,Still Desirable,B,B78,True,False,False,#7cb5bd,G1700310030706,79.06424,0.0002
132,Census tract,Tract 307.06,17031030706,"$52,167","$9,687",1382,Chicago,IL,True,Definitely Declining,C,C76,True,False,False,#ffff00,G1700310030706,47.68272,0.00012
133,Census tract,Tract 307.06,17031030706,"$52,167","$9,687",1380,Chicago,IL,True,Definitely Declining,C,C78,True,False,False,#ffff00,G1700310030706,59442.71634,0.15148
134,Census tract,Tract 307.06,17031030706,"$52,167","$9,687",1373,Chicago,IL,True,Definitely Declining,C,C82,True,False,False,#ffff00,G1700310030706,933.97601,0.00238
135,Census tract,Tract 307.06,17031030706,"$52,167","$9,687",1378,Chicago,IL,True,Definitely Declining,C,C83,True,False,False,#ffff00,G1700310030706,2278.83026,0.00581
136,Census tract,Tract 308,17031030800,"$105,585","$15,118",1386,Chicago,IL,True,Definitely Declining,C,C75,True,False,False,#ffff00,G1700310030800,296434.1709,0.52243
137,Census tract,Tract 308,17031030800,"$105,585","$15,118",1379,Chicago,IL,True,Definitely Declining,C,C77,True,False,False,#ffff00,G1700310030800,196835.9175,0.3469
138,Census tract,Tract 308,17031030800,"$105,585","$15,118",1380,Chicago,IL,True,Definitely Declining,C,C78,True,False,False,#ffff00,G1700310030800,42089.53444,0.07418
139,Census tract,Tract 308,17031030800,"$105,585","$15,118",1377,Chicago,IL,True,Definitely Declining,C,C81,True,False,False,#ffff00,G1700310030800,32052.13837,0.05649
140,Census tract,Tract 309,17031030900,"$87,485","$21,521",1386,Chicago,IL,True,Definitely Declining,C,C75,True,False,False,#ffff00,G1700310030900,408718.35338,1.0
141,Census tract,Tract 310,17031031000,"$132,147","$30,871",1386,Chicago,IL,True,Definitely Declining,C,C75,True,False,False,#ffff00,G1700310031000,7559.9908,0.01779
142,Census tract,Tract 310,17031031000,"$132,147","$30,871",1376,Chicago,IL,True,Definitely Declining,C,C80,True,False,False,#ffff00,G1700310031000,402873.19917,0.94817
143,Census tract,Tract 310,17031031000,"$132,147","$30,871",1377,Chicago,IL,True,Definitely Declining,C,C81,True,False,False,#ffff00,G1700310031000,9685.33976,0.02279
144,Census tract,Tract 310,17031031000,"$132,147","$30,871",1375,Chicago,IL,True,Definitely Declining,C,C84,True,False,False,#ffff00,G1700310031000,317.78236,0.00075
145,Census tract,Tract 311,17031031100,"$92,717","$14,407",1386,Chicago,IL,True,Definitely Declining,C,C75,True,False,False,#ffff00,G1700310031100,9858.31941,0.01793
146,Census tract,Tract 311,17031031100,"$92,717","$14,407",1377,Chicago,IL,True,Definitely Declining,C,C81,True,False,False,#ffff00,G1700310031100,391057.33691,0.71106
147,Census tract,Tract 311,17031031100,"$92,717","$14,407",1375,Chicago,IL,True,Definitely Declining,C,C84,True,False,False,#ffff00,G1700310031100,7601.61437,0.01382
148,Census tract,Tract 312,17031031200,"$25,713","$10,158",1377,Chicago,IL,True,Definitely Declining,C,C81,True,False,False,#ffff00,G1700310031200,13334.80187,0.04085
149,Census tract,Tract 312,17031031200,"$25,713","$10,158",1373,Chicago,IL,True,Definitely Declining,C,C82,True,False,False,#ffff00,G1700310031200,308336.06326,0.94445
150,Census tract,Tract 312,17031031200,"$25,713","$10,158",1378,Chicago,IL,True,Definitely Declining,C,C83,True,False,False,#ffff00,G1700310031200,4801.76717,0.01471
151,Census tract,Tract 313,17031031300,"$68,942","$13,509",1373,Chicago,IL,True,Definitely Declining,C,C82,True,False,False,#ffff00,G1700310031300,2605.86785,0.00412
152,Census tract,Tract 313,17031031300,"$68,942","$13,509",1378,Chicago,IL,True,Definitely Declining,C,C83,True,False,False,#ffff00,G1700310031300,259766.23177,0.41089
153,Census tract,Tract 314,17031031400,"$93,026","$12,239",1368,Chicago,IL,True,Best,A,A30,True,False,False,#76a865,G1700310031400,14738.29733,0.0099
154,Census tract,Tract 314,17031031400,"$93,026","$12,239",1373,Chicago,IL,True,Definitely Declining,C,C82,True,False,False,#ffff00,G1700310031400,4988.17292,0.00335
155,Census tract,Tract 314,17031031400,"$93,026","$12,239",1378,Chicago,IL,True,Definitely Declining,C,C83,True,False,False,#ffff00,G1700310031400,181.41746,0.00012
156,Census tract,Tract 314,17031031400,"$93,026","$12,239",1374,Chicago,IL,True,Definitely Declining,C,C86,True,False,False,#ffff00,G1700310031400,130540.2386,0.08765
157,Census tract,Tract 314,17031031400,"$93,026","$12,239",1369,Chicago,IL,True,Definitely Declining,C,C89,True,False,False,#ffff00,G1700310031400,46236.19583,0.03105
158,Census tract,Tract 315.01,17031031501,"$52,250","$14,763",1373,Chicago,IL,True,Definitely Declining,C,C82,True,False,False,#ffff00,G1700310031501,159332.59761,0.99951
