State,Year,Law Passed,Law Link,Law Description,my_label,Reasoning,model_label,pro_immigration_score,top_trigger_words
California,2025,CA A 419 - Educational Equity: Immigration Enforcement,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000A419&ciq=ncsl&mode=current_text,"Requires governing boards of local educational agencies to post information related to immigration enforcement in administrative buildings and on websites of the agency and each schoolsite. Also,  The law also prohibits school staff from collecting immigration status information, requires schools to only allow immigration officers into non-public areas of school grounds if they have a valid court-issued warrant, and bars schools from sharing student or family information with immigration enforcement without a judicial warrant.",Pro-Immigration,Its for immigration since school pass all of the laws to protect immigrants,Pro-Immigration,0.6016,"school, local educational, information, educational, educational agency"
California,2025,CA S 580 - Attorney General: Immigration Enforcement Policies,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2025000S580&ciq=ncsl&mode=current_text,Requires the Attorney General to publish model policies relating to interaction with immigration enforcement and guidance for databases operated by state and local agencies to limit availability of information for immigration enforcement purposes.,,,Pro-Immigration,0.5354,"immigration enforcement, california, local, school, enforcement"
Illinois,2023,IL H 3326 - AN ACT concerning transportation.,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2023000H3326&ciq=ncsl&mode=current_text,Illinois  police can't share information of license plate of the drivers with other states when requested for punishment (abortions or immigrant status),Pro-Immigration,It supports immigration since IL state doesn't aggravate the immigration situation,Pro-Immigration,0.5617,"information, records, illinois, school, body"
Arizona,2022,AZ H 2862 - General Appropriations Act,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2022000H2862&ciq=ncsl&mode=current_text,It is a list of Arizona expenses and bills,,It doesnt related to immigration,Anti-Immigration,0.4402,"arizona, 000, arizona revised, revised statutes, monies"
California,2022,CA S 836 - Evidence: Immigration Status,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000S836&ciq=ncsl&mode=current_text,Immigrants should be in the open court unless the judge requiress them to.\,Anti-Immigration,Its against of immigrants because it restricts immigrants to be and participate in the court base on their status,Anti-Immigration,0.4571,"evidence, person immigration, person, section, immigration status"
California,2021,CA A 1259 - Criminal Procedure: Motion to Vacate,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2021000A1259&ciq=ncsl&mode=current_text,"Authorizes a person to make a motion to vacate a conviction or sentence based on a prejudicial error damaging to the moving party's ability to meaningfully understand, defend against, or knowingly accept the actual or potential adverse immigration consequences of a conviction or sentence.",Pro-Immigration,"Whenever criminal conviction decided, judge doesnt focus on immigration status, but law itself.",Anti-Immigration,0.4973,"evidence, party, section, court, paragraph"
Illinois,2021,IL S 225 - Identification Card Act and the Vehicle Code,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2021000S225&ciq=ncsl&mode=current_text,Provides that the Secretary of State shall not provide facial recognition search services or photographs obtained in the process of issuing an identification card or driver's license to any law enforcement agency for the purpose of enforcing federal immigration laws.,Pro-Immigration,Clearly states that IL won't support federal agents in looking for non-citizens,Pro-Immigration,0.5382,"information, illinois, enforcement, request, process"
Illinois,2021,IL S 667 - Immigration Detainers and Non Judicial Warrants,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2021000S667&ciq=ncsl&mode=current_text,Prohibits law enforcement from inquiring about or investigating citizenship or immigration status of individuals in custody or detained. Prohibits future agreements between ICE and local governments to house individuals for federal civil immigration violations. Provides Attorney General enforcement authority.,Pro-Immigration,Allows no agreements between ICE and immigration custody,Pro-Immigration,0.5607,"certifying, victim, agency, enforcement, official"
Illinois,2021,IL H 2790 - Public Defender and Immigration Cases,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2021000H2790&ciq=ncsl&mode=current_text,"Specifies that in counties with population over 3,000,000 the public defender may act as attorney to noncitizens in immigration cases. Representation limited to cases arising in immigration courts within the county's geographical boundaries.",Pro-Immigration,Attorney help provided for non-citizens for free for immigration cases,Anti-Immigration,0.4894,"section, court, act, county, 000"
California,2020,CA A 3228 - Private Detention Facilities,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A3228&ciq=ncsl&mode=current_text,"Requires private detention facilities to comply with detention standards of care and confinement. Requires the attorney general to review county, local and private locked detention facilities housing noncitizens for civil immigration proceedings.",Pro-Immigration,Keep appropriate standarts of detention facilities for immigrants,Pro-Immigration,0.506,"private, california, entity, code, school"
California,2019,CA A 917 - Victims of Crime: Nonimmigrant Status,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A917&ciq=ncsl&mode=current_text,"Requires a certifying official to certify the helpfulness of a nonimmigrant victim of crimes when requested by a licensed attorney representing the victim, and to process those forms within 30 days.",Pro-Immigration,"Since CA provides a temporary immigration status to a person who witnessed a case, they definelty support immigration. CA doesn't disregard opinions of immigrants in law enforcement cases.",Pro-Immigration,0.5866,"victim, certifying, certifying entity, supplement, form"
California,2019,CA A 1747 - Law Enforcement Telecommunications System: Immigration,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2019000A1747&ciq=ncsl&mode=current_text,Prohibits a state law enforcement agency from making information regarding an individual's citizenship or immigration status available to anyone or any entity for the purpose of immigration enforcement.,Pro-Immigration,Non-share about immigration status; protects immigrants from deportation,Pro-Immigration,0.5239,"information, california, immigration enforcement, enforcement, immigration"
Illinois,2019,IL S 1290 - Immigrant Tenant Protection,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2019000S1290&ciq=ncsl&mode=current_text,"Creates the Immigrant Tenant Protection Act. Prohibits a landlord from threatening to disclose information relating to immigration or citizenship status of a tenant to any person, entity, or immigration or law enforcement agency with intent to harass, intimidate, or retaliate against the tenant.",,,Anti-Immigration,0.4974,"section, person, law, act, person immigration"
Illinois,2019,IL S 1429 - Civil Proceeding Evidence,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2019000S1429&ciq=ncsl&mode=current_text,"Prohibits the admissibility of evidence related to a person's immigration status in any civil proceeding unless essential to prove an element of a claim or affirmative defense, offered to prove witness bias, or voluntarily revealed.",,,Anti-Immigration,0.4718,"evidence, person immigration, person, court, immigration status"
Illinois,2019,IL H 1637 - Keep Families Together Act,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2019000H1637&ciq=ncsl&mode=current_text,Prohibits a law enforcement agency or official from entering into or remaining in an agreement with U.S. Immigration and Customs Enforcement under a federal 287(g) program.,,,Pro-Immigration,0.5306,"school, enforcement, agency, official, illinois"
California,2018,CA A 110 - Supportive Services Provider Wages,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2017000A110&ciq=ncsl&mode=current_text,Prohibits state and local law enforcement agencies from contracting with the federal government for use of their facilities to house individuals as federal detainees for purposes of civil immigration custody.,,,Pro-Immigration,0.5086,"california, information, shall, agency, enforcement"
California,2018,CA S 785 - Evidence: Immigration Status,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2017000S785&ciq=ncsl&mode=current_text,Prohibits inclusion of evidence of a person's immigration status in a public court record unless the presiding judge rules the evidence admissible at an in camera hearing. Applies to criminal actions.,,,Anti-Immigration,0.4582,"evidence, person immigration, section, person, immigration status"
California,2018,CA S 1194 - Privacy: Lodging and Common Carriers,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2017000S1194&ciq=ncsl&mode=current_text,"Prohibits lodging and bus transportation agencies from disclosing private information to a 3rd party, such as an immigration enforcement agent, without a court-issued subpoena, warrant, or order.",,,Pro-Immigration,0.5415,"information, california, records, charter, privacy"
California,2018,CA S 1494 - Public Safety Omnibus,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2017000S1494&ciq=ncsl&mode=current_text,"Allows law enforcement officials to have discretion to cooperate with immigration authorities only if doing so would not violate any federal, state, or local law, or local policy, and where permitted by the California Values Act.",,,Anti-Immigration,0.4996,"section, person, evidence, offense, chapter"
California,2018,CA A 1639 - Crime Victims: Victim Compensation Board,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2017000A1639&ciq=ncsl&mode=current_text,Creates the Healing for All Act. Requires that access to victim compensation information and applications will not be denied based on the victim's documentation or immigration status.,,,Pro-Immigration,0.5538,"victim, board, local, information, california"
California,2018,CA A 2845 - Criminal Procedure: Pardons,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2017000A2845&ciq=ncsl&mode=current_text,"Allows an applicant for parole to be eligible for a pardon, commutation, or certificate of rehabilitation without regard to immigration status.",,,Pro-Immigration,0.5052,"board, employer, shall, code, request"
California,2018,CA A 2867 - Criminal Procedure: Postconviction Relief,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2017000A2867&ciq=ncsl&mode=current_text,Clarifies postconviction relief for individuals who may not have understood the actual or potential adverse immigration consequences of a plea of guilty or nolo contendere.,,,Anti-Immigration,0.4985,"party, section, evidence, court, legislature"
California,2018,CA A 3249 - State Bar Act: Attorneys: Discipline: Membership Fee,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2017000A3249&ciq=ncsl&mode=current_text,Prohibits a licensing board from requiring an individual to disclose citizenship or immigration status for purposes of licensure. Prohibits denying licensure based solely on citizenship or immigration status.,,,Pro-Immigration,0.5008,"california, shall, information, board, code"
Illinois,2018,IL S 3488 - Anti Registry Program Act,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2017000S3488&ciq=ncsl&mode=current_text,"States that information regarding an individual's citizenship or immigration status, lawful or unlawful, will be interpreted consistently with Section 1373 of Title 8 of the United States Code.",,,Pro-Immigration,0.5371,"information, agency, agent, local, illinois"
Arizona,2017,AZ S 1350 - Terrorism,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2017000S1350&ciq=ncsl&mode=current_text,Expands Arizona's meaning of 'terrorism'. Clarifies that 'foreign terrorist organization' should be defined as it is under section 219 of the Immigration and Nationality Act.,Anti-Immigration,"Expands Arizona's terrorism definition tied to the Immigration and Nationality Act — frames immigration enforcement through a terrorism lens, deepening enforcement",Anti-Immigration,0.4402,"substance, arizona, 13, section, person"
California,2017,CA S 29 - Law Enforcement: Immigration,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2017000S29&ciq=ncsl&mode=current_text,"Prohibits localities and local law enforcement agencies from entering into or renewing contracts to detain non-citizens for civil immigration custody as of January 1, 2018.",,,Pro-Immigration,0.5196,"agency, california, local, immigration, enforcement"
California,2017,CA S 31 - California Religious Freedom Act: State Agencies,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2017000S31&ciq=ncsl&mode=current_text,"Prohibits state or local agencies from providing personal information regarding a person's religious beliefs, national origin, or ethnicity to the federal government for compiling a database for law enforcement or immigration purposes.",,,Pro-Immigration,0.542,"information, agency, local, california, enforcement"
California,2017,CA S 54 - Law Enforcement: Sharing Data,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2017000S54&ciq=ncsl&mode=current_text,Prohibits state and local law enforcement agencies from using money or personnel to investigate or arrest persons for immigration enforcement purposes. Requires the AG to publish model policies limiting assistance with immigration enforcement.,,,Pro-Immigration,0.5384,"enforcement, california, information, local, immigration enforcement"
California,2017,CA S 112 - State Government,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2017000S112&ciq=ncsl&mode=current_text,"Prohibits localities or local law enforcement agencies that did not have a contract with the federal government to detain adult noncitizens as of June 15, 2017 from entering into such a contract. Prevents renewal or modification of existing contracts.",,,Pro-Immigration,0.506,"local, employee, shall, california, code"
California,2017,CA A 493 - Crime: Victims and Witnesses: Immigration Violations,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2017000A493&ciq=ncsl&mode=current_text,Prohibits a peace officer from detaining an individual for any actual or suspected immigration violation or reporting the individual to federal immigration authorities when the individual is a victim of or witness to a hate crime.,,,Pro-Immigration,0.518,"victim, crime, immigration, individual, 679"
California,2017,CA A 1440 - Peace Officers,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2017000A1440&ciq=ncsl&mode=current_text,Specifies that U.S. Immigration and Customs Enforcement officers and U.S. Customs and Border Protection officers are not California peace officers.,,,Pro-Immigration,0.5118,"california, ice, enforcement, local, immigration"
Illinois,2017,IL S 31 - Immigration Enforcement,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2017000S31&ciq=ncsl&mode=current_text,"Establishes the Illinois Trust Act prohibiting law enforcement from stopping, arresting, or detaining individuals based on immigration detainers, non-judicial immigration warrants, or solely based on citizenship or immigration status. Does not apply when presented with a valid federal warrant.",,,Pro-Immigration,0.5307,"enforcement, agency, immigration, official, information"
Illinois,2017,IL S 265 - Notary Public Act,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2017000S265&ciq=ncsl&mode=current_text,A notary public who is not a lawyer or law/immigration representative must include that notification in advertising. Adds electronic communication to methods of advertising.,,,Pro-Immigration,0.5064,"information, shall, illinois, official, form"
Arizona,2016,AZ S 1247 - Prisoners and Community Reentry,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2016000S1247&ciq=ncsl&mode=current_text,"Allows inmates to take part in the Community Reentry Work Program if the inmate meets certain conditions, including no detainers from U.S. Immigration and Customs Enforcement.",,,Anti-Immigration,0.4712,"arizona, section, 13, chapter, section 13"
California,2016,CA A 813 - Criminal Procedure: Post Conviction Relief,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2015000A813&ciq=ncsl&mode=current_text,Creates an explicit right for a person no longer imprisoned to prosecute a motion to vacate a conviction based on prejudicial error damaging the individual's ability to meaningfully understand adverse immigration consequences of a plea.,,,Anti-Immigration,0.4925,"evidence, party, section, court, person"
California,2016,CA A 2159 - Evidence: Immigration Status,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2015000A2159&ciq=ncsl&mode=current_text,"Provides that in a civil action for personal injury or wrongful death, evidence of a person's immigration status is not admissible or permitted.",,,Anti-Immigration,0.4595,"evidence, person immigration, section, person, immigration status"
California,2016,CA A 2792 - Local Law Enforcement Agencies: Immigration Enforcement,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2015000A2792&ciq=ncsl&mode=current_text,"Requires local law enforcement to provide a written consent form prior to an ICE interview with an individual in custody regarding civil immigration violations, explaining the purpose is voluntary.",,,Pro-Immigration,0.5476,"ice, local, enforcement, agency, california"
California,2016,CA A 2844 - Public Contracts: Discrimination,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2015000A2844&ciq=ncsl&mode=current_text,"Requires bidders on contracts of $100,000 or more to certify compliance with civil rights acts protecting against discrimination including based on immigration status.",,,Pro-Immigration,0.516,"california, school, information, code, agency"
California,2015,CA A 60 - Immigration Services,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2015000A60&ciq=ncsl&mode=current_text,Revises the definition of immigration reform act to include presidential executive actions. Requires the State Bar to announce immigration executive actions and makes it unlawful for attorneys to demand advance payment for immigration reform act services.,,,Pro-Immigration,0.5058,"immigration, services, california, undocumented, school"
California,2015,CA A 900 - Juveniles: Special Immigrant Juvenile Status,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2015000A900&ciq=ncsl&mode=current_text,"Permits the court to appoint a guardian to unmarried individuals between 18-21 to assist with petitions for special immigrant juvenile status, including unaccompanied immigrant children.",,,Anti-Immigration,0.494,"person, youth, section, necessary, years"
California,2015,CA A 1343 - Criminal Procedure: Defense Counsel,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2015000A1343&ciq=ncsl&mode=current_text,Requires defense counsel to provide accurate and affirmative advice about immigration consequences of a proposed disposition and to defend against those consequences.,,,Pro-Immigration,0.5215,"california, immigration, school, process, local"
California,2013,CA A 1159 - Immigration Services,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2013000A1159&ciq=ncsl&mode=current_text,Requires attorneys providing immigration reform act services to register with the State Bar and regulates unauthorized practice of law for immigration services.,,,Pro-Immigration,0.5024,"immigration, shall, information, california, services"
Illinois,2013,IL H 2269 - Notary Public Act,https://custom.statenet.com/public/resources.cgi?id=ID:bill:IL2013000H2269&ciq=ncsl&mode=current_text,Limits fees charged by notary publics for immigration forms.,,,Pro-Immigration,0.5057,"illinois, shall, 102, record, records"
California,2012,CA S 1021 - Public Safety,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2011000S1021&ciq=ncsl&mode=current_text,States that inmates with a U.S. Immigration and Customs hold convicted of specified offenses would be considered on a case-by-case basis for a community treatment program.,,,Pro-Immigration,0.5289,"case, immigration, states, customs"
California,2012,CA A 2015 - Criminal Procedure: Telephone Calls: Arrested Parents,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2011000A2015&ciq=ncsl&mode=current_text,Mandates that arresting officers must ask if the arrested person is a custodial parent and inform them of their right to two additional phone calls regardless of immigration status. Signs in multiple languages must be posted.,,Doesnt state the opinion: positive or negative,Pro-Immigration,0.5273,"local, school, parent, child, shall"
Arizona,2011,AZ S 1046 - Juvenile Discharge and Immigration Detainer Regulations,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2011000S1046&ciq=ncsl&mode=current_text,Mandates that a youth held in state custody may be discharged if ICE enforces a detainer demanding custody of the youth for immigration proceedings.,Anti-Immigration,Mandates state juvenile corrections cooperate with ICE detainers — state-mandated ICE cooperation is an enforcement expansion,Anti-Immigration,0.4277,"youth, arizona, section, department, senate"
Arizona,2011,AZ S 1117 - Immigration Legislation Challenges,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2011000S1117&ciq=ncsl&mode=current_text,Allows the Speaker of the House and Senate President to direct counsel to initiate legal proceedings regarding any challenge to immigration law SB1070.,,Doesnt state the opinion: positive or negative,Anti-Immigration,0.3851,"arizona, chapter, senate, revised statutes, arizona revised"
Arizona,2011,AZ S 1398 - Gang and Immigration Intelligence Team Enforcement,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2011000S1398&ciq=ncsl&mode=current_text,Funds Arizona's Gang and Immigration Intelligence Team by levying a penalty assessment on fines collected for civil traffic and motor vehicle violations.,Anti-Immigration,AZ funds immigration enforcement operations,Anti-Immigration,0.418,"arizona, arizona revised, revised statutes, statutes, revised"
Arizona,2011,AZ H 2191 - Prohibited Actions by Illegal Aliens,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2011000H2191&ciq=ncsl&mode=current_text,Stipulates that a person unlawfully present in the United States shall not be awarded punitive damages in any court action.,Anti-Immigration,AZ dont allow and won't give any additional compensation for immigrants,Anti-Immigration,0.3846,"arizona, arizona revised, revised statutes, chapter, statutes"
Arizona,2010,AZ S 1027 - Immigration and Seismic Sensors,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2010000S1027&ciq=ncsl&mode=current_text,"Requires the department of public safety to seek grants for a one-year pilot program using seismic sensors to monitor rural areas where illegal drug traffic, illegal alien traffic, or human smuggling are likely to occur.",,No statements about immigration,Anti-Immigration,0.458,"arizona, senate, state, legislature, chapter"
Arizona,2010,AZ S 1070 - Immigration Laws,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2010000S1070&ciq=ncsl&mode=current_text,"Covers multiple issues related to illegal immigration including establishing state crimes and penalties for trespassing by illegal aliens, failure to carry alien registration documents, stopping to hire or soliciting work, and transporting, harboring, or concealing unlawful aliens.",,,Anti-Immigration,0.4745,"arizona, section, person, attorney general, violation"
Arizona,2010,AZ H 2162 - Immigration and Border Security,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2010000H2162&ciq=ncsl&mode=current_text,"Amends SB 1070 to specify law enforcement cannot consider race, color, or national origin. Clarifies 'reasonable suspicion' language requiring immigration status checks only during lawful stops, detentions, or arrests. Lowers fines for violations.",Pro-Immigration,"Since lawfulness of citizen checked on the legal stop, not out of the blue.",Anti-Immigration,0.4579,"arizona, section, revised statutes, arizona revised, person"
Arizona,2009,AZ S 1188 - Budget,https://custom.statenet.com/public/resources.cgi?id=ID:bill:AZ2009000S1188&ciq=ncsl&mode=current_text,Specifies appropriations including funds for English language learners and immigration enforcement.,,Generic budget appropriations bill; immigration enforcement is one line item among many with no substantive immigration provision that expands or restricts rights,Anti-Immigration,0.4782,"arizona, 000, fund, state, monies"
California,2009,CA A 132 - School Safety: Immigration Investigations,https://custom.statenet.com/public/resources.cgi?id=ID:bill:CA2009000A132&ciq=ncsl&mode=current_text,Would have made it state policy that immigration agents shall not interfere with education of pupils. Would have prohibited schools from collecting information about immigration status of pupils or families. Vetoed by the Governor.,,,Pro-Immigration,0.6686,"information, status, immigration status, pupils, schools"
Illinois,2025,HB2706 - IL TRUST ACT CHANGES,https://legiscan.com/IL/bill/HB2706/2025,"Amends the Illinois TRUST Act. Provides that law enforcement may not: (i) retain information regarding the citizenship or immigration status or place of birth of any individual; (ii) give any immigration agent access, including by telephone or other communication medium (rather than only including by telephone), to any individual who is in that agency's custody; (iii) permit immigration agents' use of agency facilities or equipment, including any agency electronic databases not available to the public (rather than permit immigration agents use of agency facilities or equipment, including any agency electronic databases not available to the public, for investigative interviews or other investigative or immigration enforcement purpose); or (iv) provide information to any immigration agent regarding any individual in the agency's custody (rather than provide information in response to any immigration agent's inquiry or request for information regarding any individual in the agency's custody). Provides that law enforcement may not enter into or maintain any agreement regarding direct access to any electronic database or other data-sharing platform maintained by a law enforcement agency, or otherwise provide such direct access to a federal entity enforcing civil immigration law or any third parties unless such third parties certify that the information will not be used for civil immigration purposes or knowingly disseminated for any purpose related to civil immigration enforcement. Adds provisions from the Keep Illinois Families Together Act to the Illinois TRUST Act. Changes reporting requirements. Removes certain provisions from the legislative purpose. Changes definitions. Repeals the Keep Illinois Families Together Act. Effective immediately.",,,Pro-Immigration,0.5588,"information, agency, illinois, agents, immigration"
Illinois,2025,SB2305 - IL TRUST ACT CHANGES,https://legiscan.com/IL/bill/SB2305/2025,"Amends the Illinois TRUST Act. Provides that law enforcement may not: (i) retain information regarding the citizenship or immigration status or place of birth of any individual; (ii) give any immigration agent access, including by telephone or other communication medium (rather than only including by telephone), to any individual who is in that agency's custody; (iii) permit immigration agents' use of agency facilities or equipment, including any agency electronic databases not available to the public (rather than permit immigration agents use of agency facilities or equipment, including any agency electronic databases not available to the public, for investigative interviews or other investigative or immigration enforcement purpose); or (iv) provide information to any immigration agent regarding any individual in the agency's custody (rather than provide information in response to any immigration agent's inquiry or request for information regarding any individual in the agency's custody). Provides that law enforcement may not enter into or maintain any agreement regarding direct access to any electronic database or other data-sharing platform maintained by a law enforcement agency, or otherwise provide such direct access to a federal entity enforcing civil immigration law or any third parties unless such third parties certify that the information will not be used for civil immigration purposes or knowingly disseminated for any purpose related to civil immigration enforcement. Adds provisions from the Keep Illinois Families Together Act to the Illinois TRUST Act. Changes reporting requirements. Removes certain provisions from the legislative purpose. Changes definitions. Repeals the Keep Illinois Families Together Act. Effective immediately.",,,Pro-Immigration,0.5588,"information, agency, illinois, agents, immigration"
